path,modality,vocal_channel,emotion,emotional_intensity,statement,repetition,actor,features
/home/dominik/.cache/kagglehub/datasets/uwrfkaggler/ravdess-emotional-speech-audio/versions/1/audio_speech_actors_01-24/Actor_12/03-01-08-02-02-01-12.wav,03,01,08,02,02,01,12,"[-7.23117276e+00  9.23294892e-01  7.99458990e-02  2.17296410e-01
  9.64669901e-02  1.96931233e-01 -3.14519491e-03  8.65222365e-02
  3.01694823e-02  1.85559243e-02  1.02915637e-01  1.47202861e-01
  3.22712857e-02  8.17927053e-02  1.12409469e-01  7.39657627e-02
  9.58811430e-02  1.45810439e-01  9.33764680e-02  7.67563386e-02
  1.17778200e-01  1.06146417e-01  8.81532542e-02  9.36937133e-02
  1.02540427e-01  1.27108374e-01  8.72838688e-02  1.05894394e-01
  1.23816268e-01  1.43053741e-01  1.49863956e-01  1.68507573e-01
  1.45325868e-01  1.64140956e-01  1.67847574e-01  1.54242033e-01
  1.62842692e-01  1.60898738e-01  1.52825314e-01  1.51478813e-01
  1.40288015e-01  1.39847428e-01  1.39747632e-01  1.39842240e-01
  1.40188705e-01  1.40606300e-01  1.40715509e-01  1.40195047e-01
  1.39698786e-01  1.39647648e-01  1.40228177e-01  1.40468485e-01
  1.34524526e-01  1.33312111e-01]"
/home/dominik/.cache/kagglehub/datasets/uwrfkaggler/ravdess-emotional-speech-audio/versions/1/audio_speech_actors_01-24/Actor_12/03-01-03-02-02-01-12.wav,03,01,03,02,02,01,12,"[-7.22072736e+00  9.54031798e-01 -6.90349671e-02  1.73899477e-01
  1.11426681e-01  2.25014272e-01 -4.22862474e-02  1.24823382e-01
  4.06715617e-02 -1.54304821e-03  7.26596188e-02  1.41812352e-01
  4.97004715e-02  6.29804611e-02  1.01150310e-01  3.62897463e-02
  6.55360863e-02  1.26143488e-01  5.85433747e-02  2.16848505e-02
  7.41871306e-02  1.01372557e-01  7.24475725e-02  7.58990378e-02
  1.12301980e-01  1.48983301e-01  1.39468029e-01  1.77323551e-01
  1.78966277e-01  2.25639359e-01  2.01167908e-01  2.10595548e-01
  2.04034496e-01  1.75461270e-01  1.71131702e-01  1.65260739e-01
  1.54767757e-01  1.51086595e-01  1.32095668e-01  1.53520749e-01
  1.39911013e-01  1.39562525e-01  1.39610541e-01  1.40291310e-01
  1.40330202e-01  1.39723685e-01  1.39377115e-01  1.39005540e-01
  1.38271610e-01  1.38311595e-01  1.38998146e-01  1.39205748e-01
  1.34939277e-01  1.33974154e-01]"
/home/dominik/.cache/kagglehub/datasets/uwrfkaggler/ravdess-emotional-speech-audio/versions/1/audio_speech_actors_01-24/Actor_12/03-01-04-01-01-02-12.wav,03,01,04,01,01,02,12,"[-7.21367299  1.05161679  0.11385485  0.22525406  0.16620019  0.23718633
  0.02668335  0.12813278  0.02685988 -0.01845749  0.0683742   0.1254097
  0.06220026  0.07875846  0.09566712  0.04119631  0.07041032  0.14729332
  0.06663355  0.02931906  0.10241304  0.09027075  0.08370763  0.08963575
  0.09235342  0.12386034  0.11721445  0.09770984  0.1184074   0.1144082
  0.12973685  0.15617546  0.14007259  0.17888369  0.17754739  0.18664556
  0.212121    0.17974879  0.17358486  0.15758906  0.12549422  0.12572517
  0.12526855  0.1247618   0.12482592  0.12520522  0.12524586  0.1260614
  0.12621737  0.1265739   0.126949    0.1262011   0.12054647  0.11991786]"
/home/dominik/.cache/kagglehub/datasets/uwrfkaggler/ravdess-emotional-speech-audio/versions/1/audio_speech_actors_01-24/Actor_12/03-01-05-02-01-01-12.wav,03,01,05,02,01,01,12,"[-7.21477626e+00  1.05381880e+00  2.94306401e-04  1.94840831e-01
  5.08730140e-02  1.82745634e-01 -3.06256364e-02  1.53489688e-01
  1.39706080e-01  3.54403061e-02  7.80190651e-02  1.24444483e-01
  7.68980418e-02  9.17355831e-02  1.04921533e-01  7.85052968e-02
  4.69525983e-02  1.25416322e-01  8.42255852e-02  2.16983924e-02
  1.13354103e-01  1.32687241e-01  1.25655219e-01  1.39706074e-01
  1.52441837e-01  1.53916887e-01  8.92150747e-02  1.15127653e-01
  1.41622637e-01  1.46439377e-01  1.38902372e-01  1.69831337e-01
  1.53199595e-01  1.59807484e-01  1.85740122e-01  1.49198457e-01
  1.61451734e-01  1.75670566e-01  1.63966913e-01  1.57438903e-01
  1.20553329e-01  1.20509844e-01  1.20627282e-01  1.21100181e-01
  1.21789811e-01  1.21701596e-01  1.21363184e-01  1.21214858e-01
  1.20840414e-01  1.20662100e-01  1.20346460e-01  1.20501596e-01
  1.12559868e-01  1.12232224e-01]"
/home/dominik/.cache/kagglehub/datasets/uwrfkaggler/ravdess-emotional-speech-audio/versions/1/audio_speech_actors_01-24/Actor_12/03-01-04-02-02-01-12.wav,03,01,04,02,02,01,12,"[-7.22891108e+00  8.41041267e-01 -6.81077691e-02  8.08436251e-02
  3.70020811e-02  1.44409244e-01 -7.15903302e-02  5.70499928e-02
  6.68240226e-03 -2.34020490e-02  4.39499193e-03  1.35292391e-01
  7.61629635e-02  2.47471085e-02  1.22716167e-01  5.93755884e-02
  5.63140287e-02  1.11985782e-01  8.17818828e-02  6.84039640e-02
  1.25302899e-01  1.86302627e-01  1.78340456e-01  2.05676586e-01
  2.19982203e-01  2.51063556e-01  2.43125652e-01  2.18941644e-01
  1.99267272e-01  1.85784770e-01  1.42594588e-01  1.69024210e-01
  1.55359155e-01  1.70034940e-01  1.85431297e-01  1.45476562e-01
  1.30381546e-01  1.46633903e-01  1.38438287e-01  1.38580374e-01
  1.38974350e-01  1.39712388e-01  1.40207007e-01  1.41168838e-01
  1.41658795e-01  1.40853780e-01  1.40575802e-01  1.40356388e-01
  1.39425700e-01  1.39398328e-01  1.38973854e-01  1.38992912e-01
  1.34262827e-01  1.33504249e-01]"
/home/dominik/.cache/kagglehub/datasets/uwrfkaggler/ravdess-emotional-speech-audio/versions/1/audio_speech_actors_01-24/Actor_12/03-01-06-02-01-01-12.wav,03,01,06,02,01,01,12,"[-7.20675854e+00  9.58539331e-01 -1.68726388e-01  9.78516596e-02
 -1.45751787e-02  1.95142945e-01 -1.14874063e-01  9.03043760e-02
  1.34547719e-02 -4.01952583e-02  5.42414783e-02  1.81301536e-01
  6.90958609e-02  5.14297634e-03  7.73261411e-02  7.21934411e-02
  1.22179939e-01  2.61323291e-01  2.77014617e-01  2.48995316e-01
  3.10222688e-01  2.99893377e-01  2.30863248e-01  1.68305593e-01
  1.49165571e-01  1.60507828e-01  1.59890447e-01  1.69741074e-01
  1.24635583e-01  1.42890394e-01  9.48624766e-02  1.23575706e-01
  1.14862597e-01  1.40964685e-01  1.44172152e-01  1.42195197e-01
  1.53746922e-01  1.63637230e-01  1.64745356e-01  1.73692321e-01
  1.04992686e-01  1.05203585e-01  1.05705216e-01  1.06538625e-01
  1.06996906e-01  1.07313174e-01  1.08648752e-01  1.09940864e-01
  1.10218362e-01  1.09741828e-01  1.07530741e-01  1.06036583e-01
  9.99099210e-02  9.96740579e-02]"
/home/dominik/.cache/kagglehub/datasets/uwrfkaggler/ravdess-emotional-speech-audio/versions/1/audio_speech_actors_01-24/Actor_12/03-01-05-02-01-02-12.wav,03,01,05,02,01,02,12,"[-7.20397726  1.04781641 -0.13233015  0.06580791 -0.06015331  0.18317207
 -0.10254948  0.17308686  0.08962313  0.0425223   0.03812067  0.11527279
  0.0471293   0.0490661   0.09389468  0.04803012  0.04632832  0.13904791
  0.10062693  0.0426514   0.10292163  0.12682912  0.11711644  0.1616799
  0.1841412   0.26015902  0.19391312  0.2057106   0.20887415  0.17161056
  0.15873551  0.18917367  0.177838    0.17693715  0.17256075  0.1615688
  0.17192104  0.18876841  0.16211267  0.17206972  0.12362555  0.12433129
  0.12399499  0.1239256   0.12422235  0.12325165  0.12310522  0.12329737
  0.1230441   0.12360744  0.12350692  0.12358088  0.11449685  0.11418159]"
/home/dominik/.cache/kagglehub/datasets/uwrfkaggler/ravdess-emotional-speech-audio/versions/1/audio_speech_actors_01-24/Actor_12/03-01-02-02-01-01-12.wav,03,01,02,02,01,01,12,"[-7.23143878  0.91953121  0.10621377  0.27465163  0.14394777  0.23924681
  0.05873677  0.16742358  0.09155296  0.07887853  0.08342923  0.07656723
  0.07084222  0.1060752   0.09693406  0.05356623  0.10300122  0.13668409
  0.08258097  0.0436257   0.07533485  0.07584604  0.10060807  0.08911019
  0.0792966   0.10338546  0.07995209  0.07609873  0.08887038  0.09959384
  0.10806972  0.12923947  0.12887838  0.15134198  0.14437264  0.14746478
  0.16614101  0.15617291  0.16763129  0.17129244  0.14004631  0.13950019
  0.13958624  0.14018277  0.14076133  0.14121129  0.14147863  0.14113739
  0.14132037  0.14113083  0.14093252  0.14043096  0.13603932  0.13549056]"
/home/dominik/.cache/kagglehub/datasets/uwrfkaggler/ravdess-emotional-speech-audio/versions/1/audio_speech_actors_01-24/Actor_12/03-01-08-02-01-02-12.wav,03,01,08,02,01,02,12,"[-7.22178308e+00  9.49771417e-01 -9.71895783e-02  1.92686122e-01
  7.48732200e-02  1.87270592e-01 -6.08171740e-02  9.98625973e-02
 -5.70444780e-03  1.32926765e-02  1.01043136e-01  1.20021324e-01
  5.46497996e-02  9.22583754e-02  4.90789297e-02  2.60475959e-02
  9.14660496e-02  1.15228589e-01  9.11696520e-02  1.08273301e-01
  1.33670007e-01  1.24725951e-01  1.26012198e-01  1.37940276e-01
  1.27063982e-01  1.79700513e-01  1.34085378e-01  1.44645297e-01
  1.47714555e-01  1.31071967e-01  1.38287152e-01  1.66288441e-01
  1.68593010e-01  1.79842659e-01  1.90428677e-01  2.21150308e-01
  2.04808263e-01  1.85413792e-01  1.65941419e-01  1.61866056e-01
  1.32423010e-01  1.32029850e-01  1.32043056e-01  1.32065494e-01
  1.32296825e-01  1.33058617e-01  1.32540666e-01  1.32989569e-01
  1.33452591e-01  1.34179903e-01  1.34147248e-01  1.33679402e-01
  1.27694035e-01  1.26650737e-01]"
/home/dominik/.cache/kagglehub/datasets/uwrfkaggler/ravdess-emotional-speech-audio/versions/1/audio_speech_actors_01-24/Actor_12/03-01-08-01-01-02-12.wav,03,01,08,01,01,02,12,"[-7.23484964  0.91652079  0.07787311  0.22745174  0.1292667   0.22204868
  0.04873326  0.12616721  0.08426345  0.05639465  0.08212721  0.13980096
  0.07387614  0.0886944   0.10638763  0.07590675  0.1063059   0.12909147
  0.08574435  0.08869258  0.13975595  0.12302026  0.11701546  0.13361121
  0.11947354  0.13914734  0.10799584  0.12029591  0.13495817  0.14653509
  0.14818326  0.14417707  0.1276024   0.13904937  0.14199604  0.13661564
  0.13836996  0.12852721  0.12984084  0.13845121  0.12321423  0.12283351
  0.12285826  0.12339796  0.12374135  0.12382431  0.12379367  0.12380249
  0.12365951  0.12296843  0.12318965  0.12325973  0.11748353  0.11685428]"
